course_id,Anatomy and Physiology,Behavioral and Cognitive Neuroscience,Cell and Molecular Neuroscience,Environmental and Public Health,Exercise Science,Health Promotion,Microbiology and Infectious Disease,Neuroscience,Other
STAT-307,Junior (Spring) | A,Senior (Fall) | A,Senior (Fall) | A,Senior (Fall) | B,Junior (Fall) | A,Junior (Fall) | C,Senior (Fall) | A,Sophomore (Fall) | B,Junior (Fall) | A-
STAT-315,Senior (Fall) | A,,Senior (Spring) | A-,,Junior (Fall) | C,,,,
STAT-331,,Senior (Fall) | A+,,,,,,,
STAT-341,,Senior (Fall) | A,Senior (Fall) | A+,,,,Senior (Fall) | A+,,
STAT-342,,Senior (Spring) | A+,Senior (Spring) | A,,,,Senior (Spring) | A+,,
STAT-384,,,,,,,Senior (Spring) | A,,
STAT-420,,,Senior (Fall) | C+,,,,Senior (Fall) | A,,
STAT-460,,,Senior (Spring) | A,,,,,,
STAT-495,,,,,,Freshman (Fall) | S,,,
TH-141,Sophomore (Fall) | A,Sophomore (Fall) | A,Freshman (Fall) | B+,,Sophomore (Fall) | A,Sophomore (Spring) | A,Sophomore (Summer) | A+,,
TH-400,,,,,Sophomore (Fall) | A,,,,
VMBS-100,Sophomore (Fall) | A,Freshman (Fall) | D,,Freshman (Fall) | A,Freshman (Fall) | A,Freshman (Fall) | A,Sophomore (Fall) | A,,Freshman (Fall) | A
VMBS-101,Freshman (Summer) | S,,,,,,,,
VMBS-165,Sophomore (Spring) | A+,Sophomore (Spring) | A+,,,,,Senior (Spring) | A+,Sophomore (Spring) | A,
VMBS-180A1,Freshman (Summer) | A,,,,,,,,
VMBS-180A2,Sophomore (Spring) | A+,,,,,,Sophomore (Spring) | A+,,
VMBS-192,Sophomore (Fall) | A,Freshman (Fall) | A,,,,,Sophomore (Fall) | A,Freshman (Fall) | A,Freshman (Fall) | A
VMBS-480A1,,,Junior (Fall) | A+,Junior (Fall) | A+,,,,,
VS-331,Senior (Spring) | A,,Senior (Fall) | C,,Junior (Spring) | W,,Senior (Fall) | A,,
VS-333,Senior (Fall) | A,,,,,,Junior (Fall) | A,,
VS-495,Junior (Fall) | S,Sophomore (Fall) | W,Sophomore (Fall) | W,,Sophomore (Fall) | S,,Sophomore (Fall) | S,,
WR-204,,,,,Freshman (Spring) | B+,Sophomore (Spring) | A,,,
WS-200,Freshman (Fall) | B,Sophomore (Spring) | A+,,,Senior (Fall) | A,Freshman (Spring) | A+,Sophomore (Fall) | A-,,
WS-270,,Freshman (Fall) | A+,,,Freshman (Fall) | A,,,,
WS-397,,,,,,,Sophomore (Fall) | A+,,
WS-472,Senior (Spring) | A+,,,,,,,,
WS-495,,,,,Junior (Spring) | A+,,,,
