course_id,major_group,enrollments
BMS-301,Anatomy and Physiology,475
BMS-301,Behavioral and Cognitive Neuroscience,31
BMS-301,Cell and Molecular Neuroscience,14
BMS-301,Environmental and Public Health,6
BMS-301,Exercise Science,499
BMS-301,Health Promotion,63
BMS-301,Microbiology and Infectious Disease,34
BMS-301,Other,14
BMS-302,Anatomy and Physiology,598
BMS-302,Behavioral and Cognitive Neuroscience,37
BMS-302,Cell and Molecular Neuroscience,6
BMS-302,Environmental and Public Health,2
BMS-302,Exercise Science,773
BMS-302,Health Promotion,81
BMS-302,Microbiology and Infectious Disease,23
BMS-302,Neuroscience,1
BMS-302,Other,19
BMS-304,Anatomy and Physiology,39
BMS-305,Anatomy and Physiology,78
BMS-305,Behavioral and Cognitive Neuroscience,2
BMS-305,Microbiology and Infectious Disease,14
BMS-320,Anatomy and Physiology,1
BMS-320,Cell and Molecular Neuroscience,1
BMS-320,Exercise Science,5
BMS-320,Health Promotion,1
BMS-320,Microbiology and Infectious Disease,1
BMS-325,Anatomy and Physiology,36
BMS-325,Behavioral and Cognitive Neuroscience,36
BMS-325,Cell and Molecular Neuroscience,22
BMS-325,Exercise Science,11
BMS-325,Other,2
BMS-330,Anatomy and Physiology,16
BMS-330,Exercise Science,2
BMS-345,Anatomy and Physiology,66
BMS-345,Behavioral and Cognitive Neuroscience,84
BMS-345,Cell and Molecular Neuroscience,54
BMS-345,Exercise Science,4
BMS-345,Health Promotion,2
BMS-345,Microbiology and Infectious Disease,2
BMS-345,Other,5
BMS-384,Anatomy and Physiology,69
BMS-384,Behavioral and Cognitive Neuroscience,2
BMS-384,Cell and Molecular Neuroscience,5
BMS-384,Exercise Science,4
BMS-384,Health Promotion,1
BMS-384,Microbiology and Infectious Disease,2
BMS-400,Anatomy and Physiology,8
BMS-401,Anatomy and Physiology,20
BMS-401,Behavioral and Cognitive Neuroscience,4
BMS-401,Cell and Molecular Neuroscience,2
BMS-405,Anatomy and Physiology,4
BMS-405,Behavioral and Cognitive Neuroscience,1
BMS-405,Cell and Molecular Neuroscience,1
BMS-405,Exercise Science,1
BMS-409,Anatomy and Physiology,23
BMS-409,Behavioral and Cognitive Neuroscience,1
BMS-409,Cell and Molecular Neuroscience,1
BMS-420,Anatomy and Physiology,91
BMS-420,Exercise Science,10
BMS-420,Microbiology and Infectious Disease,3
BMS-421,Anatomy and Physiology,128
BMS-421,Microbiology and Infectious Disease,2
BMS-425,Cell and Molecular Neuroscience,2
BMS-430,Anatomy and Physiology,42
BMS-430,Cell and Molecular Neuroscience,1
BMS-430,Exercise Science,7
BMS-450,Anatomy and Physiology,47
BMS-460,Anatomy and Physiology,56
BMS-461,Anatomy and Physiology,43
BMS-487,Anatomy and Physiology,1
BMS-495,Anatomy and Physiology,3
BMS-496A,Anatomy and Physiology,24
BMS-496A,Behavioral and Cognitive Neuroscience,1
BMS-496A,Cell and Molecular Neuroscience,1
BMS-496A,Exercise Science,1
BMS-496A,Health Promotion,1
BMS-496B,Anatomy and Physiology,10
BMS-496B,Microbiology and Infectious Disease,1
BMS-496C,Anatomy and Physiology,38
BMS-496C,Exercise Science,1
BMS-496C,Health Promotion,2
BMS-496C,Microbiology and Infectious Disease,1
BMS-496D,Anatomy and Physiology,2
BMS-498,Anatomy and Physiology,6
BMS-498,Behavioral and Cognitive Neuroscience,1
BMS-498,Cell and Molecular Neuroscience,1
BMS-500,Anatomy and Physiology,6
BMS-501,Anatomy and Physiology,1
BMS-521,Anatomy and Physiology,1
BMS-531,Anatomy and Physiology,2
BMS-531,Microbiology and Infectious Disease,1
BMS-545,Anatomy and Physiology,2
BMS-545,Behavioral and Cognitive Neuroscience,4
BMS-545,Cell and Molecular Neuroscience,2
BMS-575,Anatomy and Physiology,20
BMS-575,Exercise Science,1
BSPM-102,Anatomy and Physiology,7
BSPM-102,Behavioral and Cognitive Neuroscience,1
BSPM-102,Exercise Science,9
BSPM-102,Health Promotion,5
BSPM-102,Microbiology and Infectious Disease,1
BSPM-102,Other,1
BSPM-302,Environmental and Public Health,1
BSPM-302,Exercise Science,1
BSPM-302,Microbiology and Infectious Disease,2
BSPM-303A,Exercise Science,1
BSPM-361,Behavioral and Cognitive Neuroscience,2
BSPM-361,Microbiology and Infectious Disease,2
BSPM-365,Behavioral and Cognitive Neuroscience,2
BUS-100,Anatomy and Physiology,1
BUS-100,Exercise Science,8
BUS-100,Health Promotion,2
BUS-100,Other,3
BUS-105,Anatomy and Physiology,1
BUS-105,Exercise Science,7
BUS-105,Health Promotion,1
BUS-150,Anatomy and Physiology,2
BUS-150,Behavioral and Cognitive Neuroscience,2
BUS-150,Cell and Molecular Neuroscience,1
BUS-150,Exercise Science,6
BUS-150,Health Promotion,8
BUS-150,Microbiology and Infectious Disease,3
BUS-201,Anatomy and Physiology,1
BUS-201,Exercise Science,3
BUS-201,Health Promotion,2
BUS-201,Other,2
BUS-205,Behavioral and Cognitive Neuroscience,2
BUS-205,Exercise Science,1
BUS-205,Health Promotion,21
BUS-210,Cell and Molecular Neuroscience,1
BUS-210,Exercise Science,2
BUS-220,Anatomy and Physiology,14
BUS-220,Behavioral and Cognitive Neuroscience,2
BUS-220,Environmental and Public Health,4
BUS-220,Exercise Science,44
BUS-220,Health Promotion,31
BUS-220,Microbiology and Infectious Disease,4
BUS-220,Other,1
BUS-225,Health Promotion,2
BUS-250,Anatomy and Physiology,1
BUS-250,Exercise Science,4
BUS-250,Health Promotion,1
BUS-260,Anatomy and Physiology,1
BUS-260,Exercise Science,1
BUS-260,Health Promotion,1
BUS-269,Health Promotion,1
BUS-300,Anatomy and Physiology,1
BUS-300,Health Promotion,2
BUS-361,Health Promotion,1
BUS-380A5,Anatomy and Physiology,1
BUS-405A,Anatomy and Physiology,1
BUS-405A,Exercise Science,1
BUS-479,Anatomy and Physiology,1
BZ-101,Anatomy and Physiology,2
BZ-101,Behavioral and Cognitive Neuroscience,1
BZ-101,Exercise Science,5
BZ-101,Health Promotion,5
BZ-101,Other,1
BZ-104,Exercise Science,4
BZ-104,Health Promotion,1
BZ-110,Anatomy and Physiology,3
BZ-110,Behavioral and Cognitive Neuroscience,1
BZ-110,Environmental and Public Health,2
BZ-110,Exercise Science,22
BZ-110,Health Promotion,24
BZ-110,Microbiology and Infectious Disease,4
BZ-111,Anatomy and Physiology,3
BZ-111,Environmental and Public Health,2
BZ-111,Exercise Science,15
BZ-111,Health Promotion,24
BZ-111,Microbiology and Infectious Disease,1
BZ-111,Other,1
BZ-120,Environmental and Public Health,2
BZ-120,Exercise Science,10
BZ-120,Health Promotion,8
BZ-120,Microbiology and Infectious Disease,1
BZ-120,Other,1
BZ-182A,Anatomy and Physiology,1
BZ-182A,Health Promotion,2
BZ-192,Anatomy and Physiology,3
BZ-192,Exercise Science,6
BZ-192,Microbiology and Infectious Disease,2
BZ-212,Anatomy and Physiology,6
BZ-212,Cell and Molecular Neuroscience,2
BZ-212,Exercise Science,2
BZ-212,Microbiology and Infectious Disease,6
BZ-214,Anatomy and Physiology,4
BZ-214,Cell and Molecular Neuroscience,2
BZ-214,Microbiology and Infectious Disease,8
BZ-220,Anatomy and Physiology,18
BZ-220,Cell and Molecular Neuroscience,1
BZ-220,Exercise Science,11
BZ-220,Health Promotion,3
BZ-220,Microbiology and Infectious Disease,5
BZ-220,Other,2
BZ-223,Anatomy and Physiology,1
BZ-223,Exercise Science,1
BZ-240,Other,1
BZ-300,Anatomy and Physiology,2
BZ-300,Exercise Science,1
BZ-310,Anatomy and Physiology,6
BZ-310,Environmental and Public Health,2
BZ-310,Exercise Science,6
BZ-310,Microbiology and Infectious Disease,2
BZ-310,Other,4
BZ-311,Other,2
BZ-329,Anatomy and Physiology,3
BZ-329,Microbiology and Infectious Disease,1
BZ-333,Microbiology and Infectious Disease,2
BZ-350,Anatomy and Physiology,24
BZ-350,Behavioral and Cognitive Neuroscience,1
BZ-350,Exercise Science,25
BZ-350,Microbiology and Infectious Disease,13
BZ-350,Other,3
BZ-360,Behavioral and Cognitive Neuroscience,2
BZ-360,Microbiology and Infectious Disease,10
BZ-360,Other,2
BZ-384,Anatomy and Physiology,2
BZ-384,Behavioral and Cognitive Neuroscience,1
BZ-384,Microbiology and Infectious Disease,1
BZ-415,Anatomy and Physiology,1
BZ-418,Microbiology and Infectious Disease,1
BZ-420,Other,1
BZ-435A,Anatomy and Physiology,2
BZ-450,Anatomy and Physiology,2
BZ-475,Microbiology and Infectious Disease,1
BZ-480A4,Behavioral and Cognitive Neuroscience,1
BZ-480A4,Microbiology and Infectious Disease,6
BZ-498,Anatomy and Physiology,1
BZ-498,Microbiology and Infectious Disease,1
BZ-541,Anatomy and Physiology,1
CBE-101,Exercise Science,2
CBE-101,Health Promotion,2
CBE-101,Microbiology and Infectious Disease,2
CBE-101A,Anatomy and Physiology,3
CBE-101A,Exercise Science,2
CBE-101A,Health Promotion,1
CBE-101A,Microbiology and Infectious Disease,2
CBE-101B,Anatomy and Physiology,3
CBE-101B,Exercise Science,2
CBE-101B,Health Promotion,1
CBE-101B,Microbiology and Infectious Disease,2
CBE-160,Anatomy and Physiology,3
CBE-160,Exercise Science,3
CBE-160,Health Promotion,2
CBE-160,Microbiology and Infectious Disease,3
CBE-201,Exercise Science,1
CBE-201,Microbiology and Infectious Disease,1
CBE-205,Exercise Science,1
CBE-205,Microbiology and Infectious Disease,1
CBE-210,Exercise Science,1
CBE-210,Microbiology and Infectious Disease,1
CBE-393,Exercise Science,1
CBE-393,Microbiology and Infectious Disease,1
CHEM-103,Anatomy and Physiology,1
CHEM-103,Behavioral and Cognitive Neuroscience,1
CHEM-103,Exercise Science,3
CHEM-103,Health Promotion,3
CHEM-104,Behavioral and Cognitive Neuroscience,1
CHEM-104,Exercise Science,1
CHEM-104,Health Promotion,1
CHEM-105,Anatomy and Physiology,7
CHEM-105,Behavioral and Cognitive Neuroscience,2
CHEM-105,Cell and Molecular Neuroscience,1
CHEM-105,Exercise Science,10
CHEM-105,Health Promotion,14
CHEM-105,Microbiology and Infectious Disease,3
CHEM-105,Other,3
CHEM-107,Cell and Molecular Neuroscience,1
CHEM-107,Environmental and Public Health,2
CHEM-107,Exercise Science,54
CHEM-107,Health Promotion,132
CHEM-107,Other,7
CHEM-108,Cell and Molecular Neuroscience,1
CHEM-108,Environmental and Public Health,2
CHEM-108,Exercise Science,49
CHEM-108,Health Promotion,123
CHEM-108,Other,6
CHEM-111,Anatomy and Physiology,939
CHEM-111,Behavioral and Cognitive Neuroscience,218
CHEM-111,Cell and Molecular Neuroscience,105
CHEM-111,Environmental and Public Health,103
CHEM-111,Exercise Science,1021
CHEM-111,Health Promotion,276
CHEM-111,Microbiology and Infectious Disease,312
CHEM-111,Neuroscience,25
CHEM-111,Other,91
CHEM-112,Anatomy and Physiology,434
CHEM-112,Behavioral and Cognitive Neuroscience,98
CHEM-112,Cell and Molecular Neuroscience,51
CHEM-112,Environmental and Public Health,39
CHEM-112,Exercise Science,421
CHEM-112,Health Promotion,115
CHEM-112,Microbiology and Infectious Disease,145
CHEM-112,Neuroscience,11
CHEM-112,Other,36
CHEM-113,Anatomy and Physiology,378
CHEM-113,Behavioral and Cognitive Neuroscience,90
CHEM-113,Cell and Molecular Neuroscience,46
CHEM-113,Environmental and Public Health,30
CHEM-113,Exercise Science,434
CHEM-113,Health Promotion,60
CHEM-113,Microbiology and Infectious Disease,131
CHEM-113,Neuroscience,7
CHEM-113,Other,22
CHEM-114,Anatomy and Physiology,353
CHEM-114,Behavioral and Cognitive Neuroscience,87
CHEM-114,Cell and Molecular Neuroscience,40
CHEM-114,Environmental and Public Health,28
CHEM-114,Exercise Science,401
CHEM-114,Health Promotion,50
CHEM-114,Microbiology and Infectious Disease,130
CHEM-114,Neuroscience,6
CHEM-114,Other,22
CHEM-115,Anatomy and Physiology,13
CHEM-115,Behavioral and Cognitive Neuroscience,1
CHEM-115,Cell and Molecular Neuroscience,1
CHEM-115,Environmental and Public Health,5
CHEM-115,Exercise Science,13
CHEM-115,Health Promotion,2
CHEM-115,Microbiology and Infectious Disease,2
CHEM-115,Other,1
CHEM-120,Exercise Science,2
CHEM-120,Microbiology and Infectious Disease,2
CHEM-121,Exercise Science,1
CHEM-121,Microbiology and Infectious Disease,1
CHEM-192,Exercise Science,1
CHEM-192,Microbiology and Infectious Disease,2
CHEM-231,Anatomy and Physiology,1
CHEM-231,Microbiology and Infectious Disease,2
CHEM-232,Anatomy and Physiology,1
CHEM-241,Anatomy and Physiology,2
CHEM-241,Microbiology and Infectious Disease,2
CHEM-242,Anatomy and Physiology,1
CHEM-242,Microbiology and Infectious Disease,1
CHEM-245,Anatomy and Physiology,65
CHEM-245,Cell and Molecular Neuroscience,1
CHEM-245,Environmental and Public Health,22
CHEM-245,Exercise Science,197
CHEM-245,Health Promotion,4
CHEM-245,Microbiology and Infectious Disease,42
CHEM-245,Other,3
CHEM-246,Anatomy and Physiology,58
CHEM-246,Cell and Molecular Neuroscience,1
CHEM-246,Environmental and Public Health,16
CHEM-246,Exercise Science,190
CHEM-246,Health Promotion,3
CHEM-246,Microbiology and Infectious Disease,37
CHEM-246,Other,2
CHEM-263,Anatomy and Physiology,5
CHEM-263,Behavioral and Cognitive Neuroscience,1
CHEM-263,Environmental and Public Health,2
CHEM-263,Exercise Science,1
CHEM-263,Health Promotion,2
CHEM-263,Microbiology and Infectious Disease,1
CHEM-264,Anatomy and Physiology,1
CHEM-264,Environmental and Public Health,1
CHEM-264,Health Promotion,1
CHEM-311,Exercise Science,1
CHEM-311,Microbiology and Infectious Disease,1
CHEM-320,Anatomy and Physiology,5
CHEM-320,Behavioral and Cognitive Neuroscience,10
CHEM-320,Cell and Molecular Neuroscience,1
CHEM-320,Exercise Science,4
CHEM-320,Microbiology and Infectious Disease,4
CHEM-333,Anatomy and Physiology,7
CHEM-333,Behavioral and Cognitive Neuroscience,2
CHEM-333,Microbiology and Infectious Disease,2
CHEM-338,Anatomy and Physiology,2
CHEM-338,Environmental and Public Health,2
CHEM-341,Anatomy and Physiology,287
CHEM-341,Behavioral and Cognitive Neuroscience,91
CHEM-341,Cell and Molecular Neuroscience,45
CHEM-341,Environmental and Public Health,7
CHEM-341,Exercise Science,58
CHEM-341,Health Promotion,2
CHEM-341,Microbiology and Infectious Disease,104
CHEM-341,Neuroscience,3
CHEM-341,Other,15
CHEM-343,Anatomy and Physiology,211
CHEM-343,Behavioral and Cognitive Neuroscience,66
CHEM-343,Cell and Molecular Neuroscience,37
CHEM-343,Environmental and Public Health,6
CHEM-343,Exercise Science,35
CHEM-343,Health Promotion,1
CHEM-343,Microbiology and Infectious Disease,72
CHEM-343,Other,11
CHEM-344,Anatomy and Physiology,170
CHEM-344,Behavioral and Cognitive Neuroscience,56
CHEM-344,Cell and Molecular Neuroscience,28
CHEM-344,Environmental and Public Health,5
CHEM-344,Exercise Science,21
CHEM-344,Microbiology and Infectious Disease,60
CHEM-344,Other,6
CHEM-384,Anatomy and Physiology,15
CHEM-384,Cell and Molecular Neuroscience,1
CHEM-384,Exercise Science,4
CHEM-434,Anatomy and Physiology,1
CHEM-434,Behavioral and Cognitive Neuroscience,1
CHEM-440,Anatomy and Physiology,1
CHEM-440,Cell and Molecular Neuroscience,1
CHEM-445,Anatomy and Physiology,1
CHEM-445,Cell and Molecular Neuroscience,1
CHEM-445,Microbiology and Infectious Disease,1
CHEM-448,Anatomy and Physiology,2
CHEM-448,Behavioral and Cognitive Neuroscience,1
CHEM-448,Exercise Science,1
CIS-200,Anatomy and Physiology,4
CIS-200,Cell and Molecular Neuroscience,1
CIS-200,Exercise Science,7
CIS-200,Health Promotion,4
CIS-200,Other,3
