course_id,term_season,major_group,total_enrollments
BMS-496A,Fall,Anatomy and Physiology,20
BMS-496A,Spring,Anatomy and Physiology,4
BMS-496B,Spring,Anatomy and Physiology,10
BMS-496C,Spring,Anatomy and Physiology,38
BMS-496D,Spring,Anatomy and Physiology,2
BMS-498,Fall,Anatomy and Physiology,2
BMS-498,Spring,Anatomy and Physiology,4
BMS-500,Fall,Anatomy and Physiology,6
BMS-501,Spring,Anatomy and Physiology,1
BMS-521,Spring,Anatomy and Physiology,1
BMS-531,Spring,Anatomy and Physiology,2
BMS-545,Spring,Behavioral and Cognitive Neuroscience,4
BMS-575,Fall,Anatomy and Physiology,15
BMS-575,Spring,Anatomy and Physiology,5
BSPM-102,Fall,Exercise Science,3
BSPM-102,Spring,Health Promotion,2
BSPM-102,Summer,Exercise Science,5
BSPM-302,Fall,Microbiology and Infectious Disease,2
BSPM-303A,Fall,Exercise Science,1
BSPM-361,Spring,Behavioral and Cognitive Neuroscience,2
BSPM-365,Fall,Behavioral and Cognitive Neuroscience,2
BUS-100,Fall,Exercise Science,7
BUS-100,Spring,Exercise Science,1
BUS-105,Fall,Exercise Science,7
BUS-150,Fall,Exercise Science,5
BUS-150,Spring,Health Promotion,4
BUS-201,Fall,Exercise Science,2
BUS-201,Spring,Exercise Science,1
BUS-201,Summer,Anatomy and Physiology,1
BUS-205,Fall,Health Promotion,8
BUS-205,Spring,Health Promotion,11
BUS-205,Summer,Health Promotion,2
BUS-210,Fall,Exercise Science,2
BUS-210,Spring,Cell and Molecular Neuroscience,1
BUS-220,Fall,Exercise Science,23
BUS-220,Spring,Exercise Science,20
BUS-220,Summer,Anatomy and Physiology,2
BUS-225,Fall,Health Promotion,2
BUS-250,Fall,Exercise Science,4
BUS-260,Fall,Anatomy and Physiology,1
BUS-260,Spring,Exercise Science,1
BUS-269,Fall,Health Promotion,1
BUS-300,Spring,Health Promotion,2
BUS-361,Fall,Health Promotion,1
BUS-380A5,Fall,Anatomy and Physiology,1
BUS-405A,Fall,Anatomy and Physiology,1
BUS-479,Fall,Anatomy and Physiology,1
BZ-101,Fall,Exercise Science,5
BZ-101,Spring,Health Promotion,2
BZ-104,Fall,Exercise Science,4
BZ-110,Fall,Health Promotion,17
BZ-110,Spring,Health Promotion,7
BZ-110,Summer,Microbiology and Infectious Disease,2
BZ-111,Fall,Health Promotion,13
BZ-111,Spring,Health Promotion,11
BZ-120,Fall,Exercise Science,4
BZ-120,Spring,Exercise Science,6
BZ-182A,Fall,Health Promotion,2
BZ-192,Fall,Exercise Science,6
BZ-212,Fall,Anatomy and Physiology,6
BZ-214,Spring,Microbiology and Infectious Disease,8
BZ-220,Fall,Anatomy and Physiology,13
