course_id,course_grade,enrollments
BMS-545,NGC,6
BMS-575,A,17
BMS-575,B,4
BSPM-102,A,10
BSPM-102,B,7
BSPM-102,B+,2
BSPM-102,B-,1
BSPM-102,C,1
BSPM-102,D,2
BSPM-102,W,1
BSPM-302,A,1
BSPM-302,B,1
BSPM-302,B-,1
BSPM-302,F,1
BSPM-303A,B,1
BSPM-361,A,1
BSPM-361,C+,1
BSPM-361,NGC,2
BSPM-365,D,1
BSPM-365,NGC,1
BUS-100,A,7
BUS-100,B,3
BUS-100,B+,1
BUS-100,C,2
BUS-100,D,1
BUS-105,A,5
BUS-105,A+,1
BUS-105,A-,1
BUS-105,B,1
BUS-105,C,1
BUS-150,A,6
BUS-150,A+,6
BUS-150,A-,2
BUS-150,B-,2
BUS-150,C,2
BUS-150,C+,1
BUS-150,D,1
BUS-150,F,1
BUS-150,W,1
BUS-201,A,6
BUS-201,B,1
BUS-201,C,1
BUS-205,A,18
BUS-205,B,6
BUS-210,A,1
BUS-210,NGC,2
BUS-220,A,20
BUS-220,A+,10
BUS-220,A-,9
BUS-220,B,1
BUS-220,B+,7
BUS-220,B-,2
BUS-220,C,2
BUS-220,C+,2
BUS-220,D,4
BUS-220,NGC,43
BUS-225,A,1
BUS-225,NGC,1
BUS-250,A,1
BUS-250,A-,5
BUS-260,A,1
BUS-260,B,2
BUS-269,A-,1
BUS-300,A+,1
BUS-300,B,1
BUS-300,D,1
BUS-361,A+,1
BUS-380A5,A+,1
BUS-405A,A,2
BUS-479,B-,1
BZ-101,A,3
BZ-101,A-,1
BZ-101,B,4
BZ-101,C,4
BZ-101,C+,2
BZ-104,B,2
BZ-104,B+,3
BZ-110,A,7
BZ-110,A+,1
BZ-110,A-,6
BZ-110,B,6
BZ-110,B+,5
BZ-110,B-,6
BZ-110,C,10
BZ-110,C+,5
BZ-110,D,2
BZ-110,F,4
BZ-110,RD,1
BZ-110,RF,1
BZ-110,XF,2
BZ-111,A,14
BZ-111,A+,1
BZ-111,A-,3
BZ-111,B,8
BZ-111,B+,2
BZ-111,C,10
BZ-111,C+,4
BZ-111,F,1
BZ-111,RF,1
BZ-111,W,1
BZ-111,XC,1
BZ-120,A,4
BZ-120,A+,1
BZ-120,B,2
BZ-120,B+,1
BZ-120,B-,1
BZ-120,NGC,11
BZ-120,W,2
BZ-182A,A+,3
BZ-192,A,2
BZ-192,A+,6
BZ-192,B,1
BZ-192,B-,1
BZ-192,W,1
BZ-212,A,2
BZ-212,A+,1
BZ-212,A-,2
BZ-212,B,1
BZ-212,B-,1
BZ-212,C+,1
BZ-212,NGC,8
BZ-214,A,1
BZ-214,B,3
BZ-214,NGC,8
BZ-214,W,2
BZ-220,A,11
BZ-220,A+,4
BZ-220,A-,1
BZ-220,B,6
BZ-220,B+,2
BZ-220,B-,1
BZ-220,C,7
BZ-220,C+,1
BZ-220,D,4
BZ-220,F,1
BZ-220,RF,1
BZ-220,W,1
BZ-223,A,1
BZ-223,C,1
BZ-240,C,1
BZ-300,D,1
BZ-300,F,1
BZ-300,W,1
BZ-310,A,4
BZ-310,A+,1
BZ-310,B+,1
BZ-310,B-,2
BZ-310,NGC,10
BZ-310,W,2
BZ-311,A,1
BZ-311,NGC,1
BZ-329,NGC,4
BZ-333,B+,1
BZ-333,NGC,1
BZ-350,A,9
BZ-350,A+,3
BZ-350,B,3
BZ-350,B+,1
BZ-350,B-,3
BZ-350,C,5
BZ-350,C+,3
BZ-350,D,1
BZ-350,NGC,37
BZ-350,W,1
BZ-360,A,5
BZ-360,B,1
BZ-360,B+,1
BZ-360,NGC,7
BZ-384,A,1
BZ-384,A+,3
BZ-415,NGC,1
BZ-418,A,1
BZ-420,A+,1
BZ-435A,A,2
BZ-450,B,1
BZ-450,NGC,1
BZ-475,A,1
BZ-480A4,A,2
BZ-480A4,A+,1
BZ-480A4,NGC,4
BZ-498,A,1
BZ-498,W,1
BZ-541,A,1
CBE-101,B,1
CBE-101,C,1
CBE-101,NGC,3
CBE-101,RD,1
CBE-101A,A,1
CBE-101A,A-,1
CBE-101A,B,1
CBE-101A,B+,1
CBE-101A,C,2
CBE-101A,D,1
CBE-101A,F,1
CBE-101B,A,3
CBE-101B,A-,2
CBE-101B,B,2
CBE-101B,C+,1
CBE-160,A,1
CBE-160,A-,1
CBE-160,B,1
CBE-160,B+,1
CBE-160,B-,1
CBE-160,C,1
CBE-160,C+,3
CBE-160,D,2
CBE-201,B-,1
CBE-201,C,1
CBE-205,C,2
CBE-210,W,2
CBE-393,A+,1
CBE-393,B+,1
CHEM-103,B,3
CHEM-103,C,3
CHEM-103,D,1
CHEM-103,W,1
CHEM-104,A-,1
CHEM-104,D,1
CHEM-104,W,1
CHEM-105,A,13
CHEM-105,B,9
CHEM-105,C,2
CHEM-105,D,1
CHEM-105,NGC,14
CHEM-105,W,1
CHEM-107,A,12
CHEM-107,A+,5
CHEM-107,A-,13
CHEM-107,B,24
CHEM-107,B+,14
CHEM-107,B-,19
CHEM-107,C,44
CHEM-107,C+,22
CHEM-107,D,19
CHEM-107,F,7
CHEM-107,RF,5
CHEM-107,W,12
CHEM-108,A,64
CHEM-108,A+,1
CHEM-108,A-,24
CHEM-108,B,24
CHEM-108,B+,28
CHEM-108,B-,11
CHEM-108,C,7
CHEM-108,C+,8
CHEM-108,D,3
CHEM-108,F,4
CHEM-108,W,7
CHEM-111,A,285
CHEM-111,A+,152
CHEM-111,A-,159
CHEM-111,B,166
CHEM-111,B+,123
CHEM-111,B-,96
CHEM-111,C,172
CHEM-111,C+,95
CHEM-111,D,78
CHEM-111,F,34
CHEM-111,NGC,1572
CHEM-111,RC+,1
CHEM-111,RD,18
CHEM-111,RF,13
CHEM-111,S,1
CHEM-111,W,120
CHEM-111,XF,4
CHEM-111,XU,1
CHEM-112,A,728
CHEM-112,A+,8
CHEM-112,A-,252
CHEM-112,B,107
CHEM-112,B+,125
