course_id,major_group,total_enrollments,most_common_grade,most_common_level,most_common_term,timing,timing_grade
AA-100,Anatomy and Physiology,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
AS-301,Exercise Science,1,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
AS-301,Health Promotion,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
AS-302,Exercise Science,1,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
AS-401,Exercise Science,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
ATS-150,Anatomy and Physiology,3,B+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B+
ATS-150,Behavioral and Cognitive Neuroscience,1,B+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B+
ATS-150,Exercise Science,2,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
ATS-150,Health Promotion,3,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
ATS-150,Microbiology and Infectious Disease,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ATS-350,Anatomy and Physiology,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
ATS-350,Environmental and Public Health,3,B,Junior,Fall,Junior (Fall),Junior (Fall) | B
ATS-350,Exercise Science,2,A+,Senior - Second Bachelor,Fall,Senior - Second Bachelor (Fall),Senior - Second Bachelor (Fall) | A+
BC-192,Anatomy and Physiology,8,NGC,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | NGC
BC-192,Behavioral and Cognitive Neuroscience,3,NGC,Freshman,Fall,Freshman (Fall),Freshman (Fall) | NGC
BC-192,Environmental and Public Health,1,NGC,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | NGC
BC-192,Exercise Science,5,NGC,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | NGC
BC-192,Microbiology and Infectious Disease,4,NGC,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | NGC
BC-192,Other,2,NGC,Freshman,Fall,Freshman (Fall),Freshman (Fall) | NGC
BC-295,Anatomy and Physiology,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
BC-351,Anatomy and Physiology,183,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BC-351,Behavioral and Cognitive Neuroscience,39,B,Senior,Fall,Senior (Fall),Senior (Fall) | B
BC-351,Environmental and Public Health,16,B,Senior,Fall,Senior (Fall),Senior (Fall) | B
BC-351,Exercise Science,22,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
BC-351,Health Promotion,1,B-,Senior,Fall,Senior (Fall),Senior (Fall) | B-
BC-351,Microbiology and Infectious Disease,91,B,Senior,Fall,Senior (Fall),Senior (Fall) | B
BC-351,Other,9,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BC-401,Anatomy and Physiology,1,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
BC-401,Behavioral and Cognitive Neuroscience,2,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
BC-401,Cell and Molecular Neuroscience,33,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BC-401,Environmental and Public Health,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
BC-401,Microbiology and Infectious Disease,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BC-403,Behavioral and Cognitive Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
BC-403,Cell and Molecular Neuroscience,17,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
BC-405,Cell and Molecular Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
BC-411,Cell and Molecular Neuroscience,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BC-463,Behavioral and Cognitive Neuroscience,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BC-463,Cell and Molecular Neuroscience,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BC-465,Anatomy and Physiology,3,A-,Senior,Summer,Senior (Summer),Senior (Summer) | A-
BC-465,Cell and Molecular Neuroscience,14,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
BC-484,Anatomy and Physiology,6,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BC-484,Behavioral and Cognitive Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
BC-484,Cell and Molecular Neuroscience,14,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
BC-484,Exercise Science,1,A-,Junior,Fall,Junior (Fall),Junior (Fall) | A-
BC-484,Other,4,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
BC-496,Behavioral and Cognitive Neuroscience,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
BC-496,Cell and Molecular Neuroscience,5,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
BC-498,Anatomy and Physiology,3,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BC-566,Anatomy and Physiology,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
BIOM-100,Anatomy and Physiology,5,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
BIOM-100,Cell and Molecular Neuroscience,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
BIOM-100,Exercise Science,10,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
BIOM-100,Health Promotion,1,B+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | B+
BIOM-100,Microbiology and Infectious Disease,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
BIOM-109,Anatomy and Physiology,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
BIOM-109,Health Promotion,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
BIOM-109,Microbiology and Infectious Disease,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
BIOM-200,Anatomy and Physiology,4,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
BIOM-200,Exercise Science,2,B+,Junior,Fall,Junior (Fall),Junior (Fall) | B+
