course_id,major_group,total_enrollments,most_common_grade,most_common_level,most_common_term,timing,timing_grade
CHEM-113,Exercise Science,434,C,Junior,Fall,Junior (Fall),Junior (Fall) | C
CHEM-113,Health Promotion,60,W,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | W
CHEM-113,Microbiology and Infectious Disease,131,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CHEM-113,Neuroscience,7,B-,Junior,Fall,Junior (Fall),Junior (Fall) | B-
CHEM-113,Other,22,C,Junior,Fall,Junior (Fall),Junior (Fall) | C
CHEM-120,Exercise Science,1,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
CHEM-120,Microbiology and Infectious Disease,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CHEM-192,Exercise Science,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CHEM-192,Microbiology and Infectious Disease,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CHEM-231,Anatomy and Physiology,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CHEM-231,Microbiology and Infectious Disease,2,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
CHEM-241,Anatomy and Physiology,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CHEM-241,Microbiology and Infectious Disease,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CHEM-245,Anatomy and Physiology,65,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CHEM-245,Cell and Molecular Neuroscience,1,B-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B-
CHEM-245,Environmental and Public Health,22,D,Junior,Spring,Junior (Spring),Junior (Spring) | D
CHEM-245,Exercise Science,197,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CHEM-245,Health Promotion,4,B,Junior,Fall,Junior (Fall),Junior (Fall) | B
CHEM-245,Microbiology and Infectious Disease,42,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CHEM-245,Other,3,B+,Senior,Fall,Senior (Fall),Senior (Fall) | B+
CHEM-263,Anatomy and Physiology,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CHEM-263,Environmental and Public Health,1,B,Junior,Spring,Junior (Spring),Junior (Spring) | B
CHEM-263,Health Promotion,1,C,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | C
CHEM-311,Exercise Science,1,W,Senior,Fall,Senior (Fall),Senior (Fall) | W
CHEM-311,Microbiology and Infectious Disease,1,B+,Senior,Fall,Senior (Fall),Senior (Fall) | B+
CHEM-320,Anatomy and Physiology,5,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
CHEM-320,Behavioral and Cognitive Neuroscience,10,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CHEM-320,Cell and Molecular Neuroscience,1,A-,Senior,Fall,Senior (Fall),Senior (Fall) | A-
CHEM-320,Exercise Science,4,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CHEM-320,Microbiology and Infectious Disease,4,A-,Senior,Fall,Senior (Fall),Senior (Fall) | A-
CHEM-333,Anatomy and Physiology,7,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
CHEM-333,Behavioral and Cognitive Neuroscience,2,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
CHEM-333,Microbiology and Infectious Disease,2,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CHEM-338,Anatomy and Physiology,2,A-,Senior,Spring,Senior (Spring),Senior (Spring) | A-
CHEM-338,Environmental and Public Health,2,A-,Senior,Spring,Senior (Spring),Senior (Spring) | A-
CHEM-341,Anatomy and Physiology,287,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CHEM-341,Behavioral and Cognitive Neuroscience,91,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CHEM-341,Cell and Molecular Neuroscience,45,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CHEM-341,Environmental and Public Health,7,B,Senior,Fall,Senior (Fall),Senior (Fall) | B
CHEM-341,Exercise Science,58,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CHEM-341,Health Promotion,2,C,Junior,Fall,Junior (Fall),Junior (Fall) | C
CHEM-341,Microbiology and Infectious Disease,104,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CHEM-341,Neuroscience,3,B,Junior,Fall,Junior (Fall),Junior (Fall) | B
CHEM-341,Other,15,W,Junior,Fall,Junior (Fall),Junior (Fall) | W
CHEM-343,Anatomy and Physiology,211,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CHEM-343,Behavioral and Cognitive Neuroscience,66,B,Senior,Spring,Senior (Spring),Senior (Spring) | B
CHEM-343,Cell and Molecular Neuroscience,37,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
CHEM-343,Environmental and Public Health,6,C+,Junior,Spring,Junior (Spring),Junior (Spring) | C+
CHEM-343,Exercise Science,35,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
CHEM-343,Health Promotion,1,W,Senior,Spring,Senior (Spring),Senior (Spring) | W
CHEM-343,Microbiology and Infectious Disease,72,B,Junior,Spring,Junior (Spring),Junior (Spring) | B
CHEM-343,Other,11,W,Senior,Spring,Senior (Spring),Senior (Spring) | W
CHEM-384,Anatomy and Physiology,15,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CHEM-384,Cell and Molecular Neuroscience,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CHEM-384,Exercise Science,4,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CHEM-445,Anatomy and Physiology,1,W,Junior,Fall,Junior (Fall),Junior (Fall) | W
CHEM-445,Cell and Molecular Neuroscience,1,B-,Senior,Fall,Senior (Fall),Senior (Fall) | B-
CHEM-445,Microbiology and Infectious Disease,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CHEM-448,Anatomy and Physiology,2,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
CHEM-448,Behavioral and Cognitive Neuroscience,1,B,Senior,Spring,Senior (Spring),Senior (Spring) | B
CHEM-448,Exercise Science,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
CIS-200,Anatomy and Physiology,4,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CIS-200,Cell and Molecular Neuroscience,1,A,Junior,Summer,Junior (Summer),Junior (Summer) | A
CIS-200,Exercise Science,7,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CIS-200,Health Promotion,4,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CIS-200,Other,3,A-,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A-
CIS-240,Anatomy and Physiology,1,C,Senior,Spring,Senior (Spring),Senior (Spring) | C
CIS-310,Anatomy and Physiology,1,B+,Senior,Fall,Senior (Fall),Senior (Fall) | B+
CIS-320,Anatomy and Physiology,1,B+,Senior,Spring,Senior (Spring),Senior (Spring) | B+
CIS-340,Anatomy and Physiology,1,B-,Senior,Spring,Senior (Spring),Senior (Spring) | B-
CIS-370,Anatomy and Physiology,1,A-,Senior,Spring,Senior (Spring),Senior (Spring) | A-
CIS-411,Anatomy and Physiology,1,B+,Senior,Spring,Senior (Spring),Senior (Spring) | B+
CIS-575,Anatomy and Physiology,1,W,Senior,Fall,Senior (Fall),Senior (Fall) | W
CIVE-102,Behavioral and Cognitive Neuroscience,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CIVE-102,Health Promotion,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
CIVE-103,Health Promotion,1,B+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B+
CIVE-260,Environmental and Public Health,1,B-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B-
CIVE-260,Exercise Science,2,C,Junior,Fall,Junior (Fall),Junior (Fall) | C
CIVE-261,Anatomy and Physiology,1,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
CIVE-261,Exercise Science,2,F,Junior,Spring,Junior (Spring),Junior (Spring) | F
CIVE-360,Anatomy and Physiology,1,A+,Senior,Summer,Senior (Summer),Senior (Summer) | A+
CO-130,Anatomy and Physiology,5,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CO-130,Behavioral and Cognitive Neuroscience,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
CO-130,Exercise Science,17,A-,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A-
CO-130,Health Promotion,11,B-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B-
CO-130,Neuroscience,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
CO-130,Other,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CO-150,Anatomy and Physiology,186,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CO-150,Behavioral and Cognitive Neuroscience,48,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CO-150,Cell and Molecular Neuroscience,25,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CO-150,Environmental and Public Health,22,A,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A
CO-150,Exercise Science,360,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CO-150,Health Promotion,185,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CO-150,Microbiology and Infectious Disease,51,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CO-150,Neuroscience,9,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CO-150,Other,23,B+,Freshman,Spring,Freshman (Spring),Freshman (Spring) | B+
CO-300,Anatomy and Physiology,47,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
CO-300,Behavioral and Cognitive Neuroscience,38,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-300,Cell and Molecular Neuroscience,13,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CO-300,Environmental and Public Health,13,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-300,Exercise Science,10,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-300,Health Promotion,12,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
CO-300,Microbiology and Infectious Disease,18,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
CO-300,Neuroscience,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CO-300,Other,5,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
CO-301A,Anatomy and Physiology,3,A-,Junior,Fall,Junior (Fall),Junior (Fall) | A-
CO-301A,Microbiology and Infectious Disease,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-301B,Anatomy and Physiology,93,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-301B,Behavioral and Cognitive Neuroscience,32,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-301B,Cell and Molecular Neuroscience,23,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CO-301B,Environmental and Public Health,17,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-301B,Exercise Science,294,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-301B,Health Promotion,166,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-301B,Microbiology and Infectious Disease,34,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-301B,Neuroscience,2,B,Junior,Fall,Junior (Fall),Junior (Fall) | B
CO-301B,Other,12,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CO-302,Health Promotion,1,B,Junior,Fall,Junior (Fall),Junior (Fall) | B
CON-101,Anatomy and Physiology,1,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
CON-101,Health Promotion,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CON-151,Anatomy and Physiology,1,B,Freshman,Spring,Freshman (Spring),Freshman (Spring) | B
CON-151,Microbiology and Infectious Disease,1,B,Junior,Fall,Junior (Fall),Junior (Fall) | B
CON-192,Anatomy and Physiology,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CON-251,Anatomy and Physiology,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
CON-265,Anatomy and Physiology,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CON-317,Anatomy and Physiology,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CON-353,Anatomy and Physiology,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CON-358,Anatomy and Physiology,1,B,Junior,Spring,Junior (Spring),Junior (Spring) | B
CON-366,Anatomy and Physiology,1,B,Junior,Spring,Junior (Spring),Junior (Spring) | B
CS-110,Anatomy and Physiology,3,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CS-110,Behavioral and Cognitive Neuroscience,9,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CS-110,Cell and Molecular Neuroscience,1,B,Junior,Fall,Junior (Fall),Junior (Fall) | B
CS-110,Environmental and Public Health,2,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CS-110,Exercise Science,9,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CS-110,Health Promotion,7,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CS-110,Microbiology and Infectious Disease,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CS-110,Other,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CS-150B,Anatomy and Physiology,15,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CS-150B,Behavioral and Cognitive Neuroscience,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
CS-150B,Cell and Molecular Neuroscience,9,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CS-150B,Environmental and Public Health,2,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CS-150B,Exercise Science,13,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CS-150B,Health Promotion,7,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CS-150B,Microbiology and Infectious Disease,6,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CS-150B,Other,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CS-152,Anatomy and Physiology,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CS-152,Exercise Science,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
CS-152,Health Promotion,1,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
CS-152,Microbiology and Infectious Disease,3,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CS-162,Cell and Molecular Neuroscience,1,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
CS-162,Exercise Science,1,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
CS-162,Health Promotion,1,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
CS-162,Microbiology and Infectious Disease,2,B+,Junior,Fall,Junior (Fall),Junior (Fall) | B+
CS-163,Anatomy and Physiology,1,B,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | B
CS-163,Cell and Molecular Neuroscience,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CS-163,Health Promotion,1,W,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | W
CS-164,Anatomy and Physiology,3,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
CS-164,Behavioral and Cognitive Neuroscience,1,C,Junior,Spring,Junior (Spring),Junior (Spring) | C
CS-164,Cell and Molecular Neuroscience,2,B,Senior,Fall,Senior (Fall),Senior (Fall) | B
CS-164,Exercise Science,3,B,Freshman,Spring,Freshman (Spring),Freshman (Spring) | B
CS-164,Microbiology and Infectious Disease,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CS-165,Anatomy and Physiology,1,A+,Junior,Summer,Junior (Summer),Junior (Summer) | A+
CS-165,Cell and Molecular Neuroscience,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
CS-165,Exercise Science,2,C,Freshman,Spring,Freshman (Spring),Freshman (Spring) | C
CS-165,Health Promotion,1,C,Junior,Fall,Junior (Fall),Junior (Fall) | C
CS-192,Exercise Science,3,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
CS-201,Anatomy and Physiology,2,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
CS-201,Cell and Molecular Neuroscience,1,C+,Senior,Fall,Senior (Fall),Senior (Fall) | C+
CS-201,Exercise Science,1,C,Junior,Fall,Junior (Fall),Junior (Fall) | C
CS-214,Cell and Molecular Neuroscience,2,B-,Senior,Fall,Senior (Fall),Senior (Fall) | B-
CS-214,Health Promotion,1,W,Junior,Spring,Junior (Spring),Junior (Spring) | W
CS-220,Anatomy and Physiology,1,A,Senior,Summer,Senior (Summer),Senior (Summer) | A
CS-220,Cell and Molecular Neuroscience,3,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CS-220,Exercise Science,2,C,Junior,Fall,Junior (Fall),Junior (Fall) | C
CS-220,Microbiology and Infectious Disease,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
CS-250,Cell and Molecular Neuroscience,1,A,Senior,Summer,Senior (Summer),Senior (Summer) | A
CS-312,Cell and Molecular Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
CS-314,Cell and Molecular Neuroscience,1,A,Senior,Fall,Senior (Fall),Senior (Fall) | A
CS-320,Cell and Molecular Neuroscience,1,C+,Senior,Fall,Senior (Fall),Senior (Fall) | C+
CS-345,Cell and Molecular Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
CS-345,Microbiology and Infectious Disease,1,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
CS-356,Cell and Molecular Neuroscience,2,B,Senior,Fall,Senior (Fall),Senior (Fall) | B
CS-435,Cell and Molecular Neuroscience,1,C,Senior,Fall,Senior (Fall),Senior (Fall) | C
CT-301,Health Promotion,1,W,Junior,Spring,Junior (Spring),Junior (Spring) | W
D-110,Anatomy and Physiology,8,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
D-110,Behavioral and Cognitive Neuroscience,3,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
D-110,Exercise Science,14,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
D-110,Health Promotion,5,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
D-110,Microbiology and Infectious Disease,1,C,Freshman,Spring,Freshman (Spring),Freshman (Spring) | C
D-110,Neuroscience,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
D-110,Other,3,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
DM-182A,Environmental and Public Health,1,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
DM-192A,Exercise Science,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
DM-192B,Behavioral and Cognitive Neuroscience,1,D,Freshman,Spring,Freshman (Spring),Freshman (Spring) | D
DM-192B,Exercise Science,1,C,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | C
DM-272,Exercise Science,1,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
DSCI-235,Cell and Molecular Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
DSCI-320,Cell and Molecular Neuroscience,3,B,Senior,Fall,Senior (Fall),Senior (Fall) | B
DSCI-335,Behavioral and Cognitive Neuroscience,1,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
DSCI-335,Cell and Molecular Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
DSCI-336,Cell and Molecular Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
DSCI-369,Anatomy and Physiology,1,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
DSCI-369,Cell and Molecular Neuroscience,1,A-,Senior,Spring,Senior (Spring),Senior (Spring) | A-
DSCI-445,Cell and Molecular Neuroscience,1,D,Senior,Fall,Senior (Fall),Senior (Fall) | D
DSCI-478,Cell and Molecular Neuroscience,1,A,Senior,Spring,Senior (Spring),Senior (Spring) | A
E-140,Anatomy and Physiology,4,B,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B
E-140,Behavioral and Cognitive Neuroscience,3,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
E-140,Cell and Molecular Neuroscience,1,A,Freshman,Spring,Freshman (Spring),Freshman (Spring) | A
E-140,Environmental and Public Health,1,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
E-140,Exercise Science,4,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
E-140,Health Promotion,2,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
E-140,Microbiology and Infectious Disease,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
E-142,Anatomy and Physiology,3,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
E-142,Behavioral and Cognitive Neuroscience,2,B+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | B+
E-142,Cell and Molecular Neuroscience,1,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
E-142,Exercise Science,3,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
E-142,Health Promotion,1,B-,Junior,Spring,Junior (Spring),Junior (Spring) | B-
E-142,Microbiology and Infectious Disease,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
E-150,Health Promotion,1,D,Freshman,Fall,Freshman (Fall),Freshman (Fall) | D
E-202,Anatomy and Physiology,1,A+,Senior,Spring,Senior (Spring),Senior (Spring) | A+
E-204,Microbiology and Infectious Disease,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
E-206,Cell and Molecular Neuroscience,1,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
E-210,Anatomy and Physiology,1,A+,Junior,Spring,Junior (Spring),Junior (Spring) | A+
E-210,Behavioral and Cognitive Neuroscience,3,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
E-210,Cell and Molecular Neuroscience,1,A-,Junior,Fall,Junior (Fall),Junior (Fall) | A-
E-210,Exercise Science,2,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
E-210,Health Promotion,2,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
E-210,Microbiology and Infectious Disease,4,A,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A
E-210,Other,1,B-,Junior,Fall,Junior (Fall),Junior (Fall) | B-
E-232,Anatomy and Physiology,4,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
E-232,Behavioral and Cognitive Neuroscience,2,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
E-232,Exercise Science,8,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
E-232,Health Promotion,3,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
E-232,Microbiology and Infectious Disease,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
E-232,Neuroscience,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
E-236,Anatomy and Physiology,7,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
E-236,Behavioral and Cognitive Neuroscience,1,A-,Junior,Spring,Junior (Spring),Junior (Spring) | A-
E-236,Cell and Molecular Neuroscience,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
E-236,Exercise Science,10,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
E-236,Health Promotion,5,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
E-236,Microbiology and Infectious Disease,6,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
E-236,Other,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
E-237,Anatomy and Physiology,1,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
E-237,Environmental and Public Health,1,F,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | F
E-237,Exercise Science,1,C+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C+
E-238,Anatomy and Physiology,8,A-,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A-
E-238,Exercise Science,4,A+,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A+
E-238,Microbiology and Infectious Disease,1,W,Freshman,Spring,Freshman (Spring),Freshman (Spring) | W
E-240,Health Promotion,2,A+,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A+
E-242,Anatomy and Physiology,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
E-242,Exercise Science,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
E-242,Microbiology and Infectious Disease,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
E-245,Anatomy and Physiology,3,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
E-245,Behavioral and Cognitive Neuroscience,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
E-245,Cell and Molecular Neuroscience,2,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
E-245,Exercise Science,2,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
E-245,Health Promotion,2,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
E-245,Microbiology and Infectious Disease,1,W,Freshman,Spring,Freshman (Spring),Freshman (Spring) | W
E-270,Anatomy and Physiology,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
E-270,Behavioral and Cognitive Neuroscience,1,A-,Junior,Fall,Junior (Fall),Junior (Fall) | A-
E-270,Exercise Science,2,B-,Freshman,Spring,Freshman (Spring),Freshman (Spring) | B-
E-270,Health Promotion,3,C,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | C
E-276,Anatomy and Physiology,5,A,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A
E-276,Exercise Science,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
E-276,Microbiology and Infectious Disease,1,A,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A
E-277,Health Promotion,1,W,Freshman,Spring,Freshman (Spring),Freshman (Spring) | W
E-277,Microbiology and Infectious Disease,1,C,Freshman,Fall,Freshman (Fall),Freshman (Fall) | C
E-311A,Exercise Science,1,A,Junior,Fall,Junior (Fall),Junior (Fall) | A
E-311A,Health Promotion,1,A-,Junior,Fall,Junior (Fall),Junior (Fall) | A-
E-311A,Microbiology and Infectious Disease,1,A+,Senior,Fall,Senior (Fall),Senior (Fall) | A+
E-311B,Health Promotion,1,A-,Sophomore,Spring,Sophomore (Spring),Sophomore (Spring) | A-
E-311B,Microbiology and Infectious Disease,1,A+,Junior,Fall,Junior (Fall),Junior (Fall) | A+
E-328,Behavioral and Cognitive Neuroscience,1,W,Senior,Spring,Senior (Spring),Senior (Spring) | W
E-333,Exercise Science,1,A+,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | A+
E-352,Cell and Molecular Neuroscience,1,A+,Senior,Summer,Senior (Summer),Senior (Summer) | A+
E-412A,Exercise Science,1,A,Junior,Spring,Junior (Spring),Junior (Spring) | A
EAP-102,Anatomy and Physiology,1,A-,Freshman,Fall,Freshman (Fall),Freshman (Fall) | A-
ECE-102,Cell and Molecular Neuroscience,1,C,Sophomore,Fall,Sophomore (Fall),Sophomore (Fall) | C
ECE-102,Exercise Science,1,D,Freshman,Fall,Freshman (Fall),Freshman (Fall) | D
